Date,rad_val
20230101T0000,1423.0
20230102T0000,938.0
20230103T0000,1328.0
20230104T0000,596.0
20230105T0000,399.0
20230106T0000,752.0
20230107T0000,1280.0
20230108T0000,473.0
20230109T0000,926.0
20230110T0000,1084.0
20230111T0000,252.0
20230112T0000,599.0
20230113T0000,882.0
20230114T0000,782.0
20230115T0000,442.0
20230116T0000,915.0
20230117T0000,608.0
20230118T0000,835.0
20230119T0000,1394.0
20230120T0000,1511.0
20230121T0000,1589.0
20230122T0000,1108.0
20230123T0000,1044.0
20230124T0000,1244.0
20230125T0000,1309.0
20230126T0000,1121.0
20230127T0000,1139.0
20230128T0000,1078.0
20230129T0000,1835.0
20230130T0000,954.0
20230131T0000,1460.0
20230201T0000,1086.0
20230202T0000,756.0
20230203T0000,1293.0
20230204T0000,757.0
20230205T0000,790.0
20230206T0000,1271.0
20230207T0000,2660.0
20230208T0000,2726.0
20230209T0000,2737.0
20230210T0000,2817.0
20230211T0000,2650.0
20230212T0000,2715.0
20230213T0000,2694.0
20230214T0000,2857.0
20230215T0000,2986.0
20230216T0000,2687.0
20230217T0000,725.0
20230218T0000,1840.0
20230219T0000,968.0
20230220T0000,3140.0
20230221T0000,3329.0
20230222T0000,2645.0
20230223T0000,2450.0
20230224T0000,1949.0
20230225T0000,1762.0
20230226T0000,3277.0
20230227T0000,2504.0
20230228T0000,2960.0
20230301T0000,3097.0
20230302T0000,3406.0
20230303T0000,2662.0
20230304T0000,3767.0
20230305T0000,2684.0
20230306T0000,2799.0
20230307T0000,2980.0
20230308T0000,1155.0
20230309T0000,2629.0
20230310T0000,1703.0
20230311T0000,2535.0
20230312T0000,2218.0
20230313T0000,3667.0
20230314T0000,1945.0
20230315T0000,4102.0
20230316T0000,4188.0
20230317T0000,4252.0
20230318T0000,4387.0
20230319T0000,2831.0
20230320T0000,2591.0
20230321T0000,3865.0
20230322T0000,4871.0
20230323T0000,2262.0
20230324T0000,1784.0
20230325T0000,2759.0
20230326T0000,3038.0
20230327T0000,4067.0
20230328T0000,5093.0
20230329T0000,2990.0
20230330T0000,2996.0
20230331T0000,3796.0
20230401T0000,2052.0
20230402T0000,3136.0
20230403T0000,4344.0
20230404T0000,6131.0
20230405T0000,5894.0
20230406T0000,4643.0
20230407T0000,2468.0
20230408T0000,4232.0
20230409T0000,5725.0
20230410T0000,5211.0
20230411T0000,2685.0
20230412T0000,2447.0
20230413T0000,4380.0
20230414T0000,4972.0
20230415T0000,3205.0
20230416T0000,1505.0
20230417T0000,4398.0
20230418T0000,2679.0
20230419T0000,3418.0
20230420T0000,4366.0
20230421T0000,5598.0
20230422T0000,4235.0
20230423T0000,4481.0
20230424T0000,5139.0
20230425T0000,3510.0
20230426T0000,5014.0
20230427T0000,4631.0
20230428T0000,2017.0
20230429T0000,4933.0
20230430T0000,4084.0
20230501T0000,3491.0
20230502T0000,5379.0
20230503T0000,6920.0
20230504T0000,6853.0
20230505T0000,4291.0
20230506T0000,5032.0
20230507T0000,4240.0
20230508T0000,4500.0
20230509T0000,3899.0
20230510T0000,4848.0
20230511T0000,4489.0
20230512T0000,5180.0
20230513T0000,4357.0
20230514T0000,4480.0
20230515T0000,6071.0
20230516T0000,3105.0
20230517T0000,5058.0
20230518T0000,4764.0
20230519T0000,3996.0
20230520T0000,3748.0
20230521T0000,6435.0
20230522T0000,6145.0
20230523T0000,5234.0
20230524T0000,4874.0
20230525T0000,4762.0
20230526T0000,6661.0
20230527T0000,7630.0
20230528T0000,7799.0
20230529T0000,8061.0
20230530T0000,7116.0
20230531T0000,7971.0
20230601T0000,7274.0
20230602T0000,7575.0
20230603T0000,6884.0
20230604T0000,6499.0
20230605T0000,7267.0
20230606T0000,6844.0
20230607T0000,7724.0
20230608T0000,7428.0
20230609T0000,7250.0
20230610T0000,6625.0
20230611T0000,7072.0
20230612T0000,8168.0
20230613T0000,8485.0
20230614T0000,7985.0
20230615T0000,6546.0
20230616T0000,7610.0
20230617T0000,8043.0
20230618T0000,6871.0
20230619T0000,6210.0
20230620T0000,6512.0
20230621T0000,5644.0
20230622T0000,5323.0
20230623T0000,6101.0
20230624T0000,8071.0
20230625T0000,8211.0
20230626T0000,7259.0
20230627T0000,7601.0
20230628T0000,6859.0
20230629T0000,5828.0
20230630T0000,2839.0
20230701T0000,4384.0
20230702T0000,4758.0
20230703T0000,3520.0
20230704T0000,5753.0
20230705T0000,6187.0
20230706T0000,6920.0
20230707T0000,7790.0
20230708T0000,5976.0
20230709T0000,7455.0
20230710T0000,6514.0
20230711T0000,7231.0
20230712T0000,5467.0
20230713T0000,5636.0
20230714T0000,7354.0
20230715T0000,6780.0
20230716T0000,5479.0
20230717T0000,5726.0
20230718T0000,5082.0
20230719T0000,6450.0
20230720T0000,5780.0
20230721T0000,5303.0
20230722T0000,6038.0
20230723T0000,5665.0
20230724T0000,3231.0
20230725T0000,4385.0
20230726T0000,5662.0
20230727T0000,4293.0
20230728T0000,3683.0
20230729T0000,4671.0
20230730T0000,5420.0
20230731T0000,6085.0
20230801T0000,3125.0
20230802T0000,3835.0
20230803T0000,5139.0
20230804T0000,3452.0
20230805T0000,4840.0
20230806T0000,3027.0
20230807T0000,5347.0
20230808T0000,5074.0
20230809T0000,2912.0
20230810T0000,6909.0
20230811T0000,6908.0
20230812T0000,4802.0
20230813T0000,4889.0
20230814T0000,5429.0
20230815T0000,5343.0
20230816T0000,5899.0
20230817T0000,5779.0
20230818T0000,5962.0
20230819T0000,5398.0
20230820T0000,5586.0
20230821T0000,5890.0
20230822T0000,6171.0
20230823T0000,6168.0
20230824T0000,5460.0
20230825T0000,3480.0
20230826T0000,2045.0
20230827T0000,1934.0
20230828T0000,1373.0
20230829T0000,2905.0
20230830T0000,4234.0
20230831T0000,2606.0
20230901T0000,4019.0
20230902T0000,5373.0
20230903T0000,5119.0
20230904T0000,5647.0
20230905T0000,5726.0
20230906T0000,5765.0
20230907T0000,5621.0
20230908T0000,5454.0
20230909T0000,4977.0
20230910T0000,5417.0
20230911T0000,5269.0
20230912T0000,4729.0
20230913T0000,2024.0
20230914T0000,4297.0
20230915T0000,3906.0
20230916T0000,3892.0
20230917T0000,3973.0
20230918T0000,1967.0
20230919T0000,3794.0
20230920T0000,4836.0
20230921T0000,3040.0
20230922T0000,3345.0
20230923T0000,3288.0
20230924T0000,4179.0
20230925T0000,4640.0
20230926T0000,4658.0
20230927T0000,4588.0
20230928T0000,4111.0
20230929T0000,3946.0
20230930T0000,2952.0
20231001T0000,4253.0
20231002T0000,4172.0
20231003T0000,3456.0
20231004T0000,3640.0
20231005T0000,3506.0
20231006T0000,3877.0
20231007T0000,3889.0
20231008T0000,3809.0
20231009T0000,3690.0
20231010T0000,3444.0
20231011T0000,3679.0
20231012T0000,3315.0
20231013T0000,3559.0
20231014T0000,1125.0
20231015T0000,2423.0
20231016T0000,3465.0
20231017T0000,3115.0
20231018T0000,1807.0
20231019T0000,1384.0
20231020T0000,1136.0
20231021T0000,2833.0
20231022T0000,2591.0
20231023T0000,1263.0
20231024T0000,658.0
20231025T0000,1593.0
20231026T0000,953.0
20231027T0000,1912.0
20231028T0000,1466.0
20231029T0000,1520.0
20231030T0000,1823.0
20231031T0000,1160.0
20231101T0000,1949.0
20231102T0000,538.0
20231103T0000,1364.0
20231104T0000,1001.0
20231105T0000,1046.0
20231106T0000,1355.0
20231107T0000,1374.0
20231108T0000,2084.0
20231109T0000,502.0
20231110T0000,1750.0
20231111T0000,1476.0
20231112T0000,227.0
20231113T0000,487.0
20231114T0000,579.0
20231115T0000,1253.0
20231116T0000,656.0
20231117T0000,871.0
20231118T0000,824.0
20231119T0000,524.0
20231120T0000,1234.0
20231121T0000,747.0
20231122T0000,669.0
20231123T0000,1770.0
20231124T0000,726.0
20231125T0000,1315.0
20231126T0000,843.0
20231127T0000,706.0
20231128T0000,537.0
20231129T0000,1651.0
20231130T0000,201.0
20231201T0000,235.0
20231202T0000,582.0
20231203T0000,1599.0
20231204T0000,566.0
20231205T0000,696.0
20231206T0000,762.0
20231207T0000,962.0
20231208T0000,235.0
20231209T0000,488.0
20231210T0000,861.0
20231211T0000,514.0
20231212T0000,343.0
20231213T0000,738.0
20231214T0000,371.0
20231215T0000,592.0
20231216T0000,1341.0
20231217T0000,1444.0
20231218T0000,1466.0
20231219T0000,1472.0
20231220T0000,670.0
20231221T0000,177.0
20231222T0000,211.0
20231223T0000,385.0
20231224T0000,310.0
20231225T0000,877.0
20231226T0000,746.0
20231227T0000,1307.0
20231228T0000,408.0
20231229T0000,935.0
20231230T0000,1149.0
20231231T0000,612.0
20240101T0000,1076.0